City,average_rating,Description,keywords,Similarity
Milan,3.808954748247291,"Italy’s fashion and design capital, Milan is a modern, stylish city with shopping, fine dining, and landmarks like the Duomo Cathedral and the Last Supper.","['italy', 'fashion', 'design', 'capital', 'milan', 'modern', 'stylish', 'city', 'shopping', 'fine', 'dining', 'landmarks', 'like', 'duomo', 'cathedral', 'last', 'supper']",0.046307802614158414
Munich,4.027524608093328,"Known for its beer gardens, Oktoberfest, rich history, and a mix of tradition and modernity, with plenty of outdoor activities in parks and green spaces.","['known', 'beer', 'gardens', 'oktoberfest', 'rich', 'history', 'mix', 'tradition', 'modernity', 'plenty', 'outdoor', 'activities', 'parks', 'green', 'spaces']",0.2523519672777156
Oporto,4.152144772117962,"Known for its wine, Porto is a beautiful coastal city with historic architecture, scenic views, and a relaxed atmosphere perfect for cultural exploration.","['known', 'wine', 'porto', 'beautiful', 'coastal', 'city', 'historic', 'architecture', 'scenic', 'views', 'relaxed', 'atmosphere', 'perfect', 'cultural', 'exploration']",0.15433230797475173
Oslo,3.899384885764499,"Surrounded by natural beauty, Oslo offers access to forests, fjords, and outdoor activities along with a vibrant cultural scene and modern architecture.","['surrounded', 'natural', 'beauty', 'oslo', 'offers', 'access', 'forests', 'fjords', 'outdoor', 'activities', 'along', 'vibrant', 'cultural', 'scene', 'modern', 'architecture']",0.0
Paris,3.948714285714286,"Iconic for its mix of history, culture, fashion, landmarks like the Eiffel Tower, and world-class museums, with a timeless allure.","['iconic', 'mix', 'history', 'culture', 'fashion', 'landmarks', 'like', 'eiffel', 'tower', 'museums', 'timeless', 'allure']",0.051066692058072745
Prague,4.0134228187919465,"Known for fairytale-like architecture and rich history, Prague offers beautiful views, medieval castles, and a vibrant cultural scene perfect for history lovers.","['known', 'architecture', 'rich', 'history', 'prague', 'offers', 'beautiful', 'views', 'medieval', 'castles', 'vibrant', 'cultural', 'scene', 'perfect', 'history', 'lovers']",0.3103948449602424
Rome,4.232139855437889,"Steeped in ancient history, Rome offers landmarks like the Colosseum and Vatican City, ideal for history buffs and Mediterranean cuisine lovers.","['steeped', 'ancient', 'history', 'rome', 'offers', 'landmarks', 'like', 'colosseum', 'vatican', 'city', 'ideal', 'history', 'buffs', 'mediterranean', 'cuisine', 'lovers']",0.2483190725427388
Stockholm,3.8735282176207875,"A city spread across several islands, known for its design, innovation, green spaces, and outdoor activities, perfect for those who enjoy modern living.","['city', 'spread', 'across', 'several', 'islands', 'known', 'design', 'innovation', 'green', 'spaces', 'outdoor', 'activities', 'perfect', 'enjoy', 'modern', 'living']",0.05425778838842233
Vienna,4.067712874164487,"Known for classical music, historic architecture, vibrant cafes, and rich cultural heritage, making it perfect for art lovers and those seeking elegance.","['known', 'classical', 'music', 'historic', 'architecture', 'vibrant', 'cafes', 'rich', 'cultural', 'heritage', 'making', 'perfect', 'art', 'lovers', 'seeking', 'elegance']",0.19792983888814542
Warsaw,4.066666666666666,"A dynamic city with a mix of modern buildings and historical sites, ideal for exploring history, culture, and vibrant city life.","['dynamic', 'city', 'mix', 'modern', 'buildings', 'historical', 'sites', 'ideal', 'exploring', 'history', 'culture', 'vibrant', 'city', 'life']",0.2738236985262134
Zurich,4.018495297805643,"A global financial hub with cleanliness, efficiency, high quality of life, beautiful views of Lake Zurich, art galleries, and a sophisticated atmosphere.","['global', 'financial', 'hub', 'cleanliness', 'efficiency', 'high', 'quality', 'life', 'beautiful', 'views', 'lake', 'zurich', 'art', 'galleries', 'sophisticated', 'atmosphere']",0.1
